Date,최고가,최저가,시작가,종가,거래량,등락
2019-08-01,2032.22998046875,2009.3299560546875,2015.0899658203125,2017.3399658203125,461700,0
2019-08-02,2005.31005859375,1987.1199951171875,1995.31005859375,1998.1300048828125,438500,0
2019-08-05,1987.6400146484375,1945.3900146484375,1985.9300537109375,1946.97998046875,639600,0
2019-08-06,1948.530029296875,1891.81005859375,1900.3599853515625,1917.5,739600,0
2019-08-07,1929.2900390625,1901.6099853515625,1925.3299560546875,1909.7099609375,760800,1
2019-08-08,1937.949951171875,1915.81005859375,1926.280029296875,1920.6099853515625,777200,1
2019-08-09,1946.93994140625,1936.1400146484375,1940.06005859375,1937.75,654300,1
2019-08-12,1949.18994140625,1933.25,1941.530029296875,1942.2900390625,427100,0
2019-08-13,1937.6800537109375,1923.5799560546875,1928.760009765625,1925.8299560546875,660000,1
2019-08-14,1952.219970703125,1937.22998046875,1946.1800537109375,1938.3699951171875,699600,0
2019-08-16,1927.699951171875,1911.719970703125,1921.489990234375,1927.1700439453125,421700,1
2019-08-19,1943.0899658203125,1931.43994140625,1936.6400146484375,1939.9000244140625,481000,1
2019-08-20,1964.1600341796875,1937.530029296875,1942.989990234375,1960.25,463600,1
2019-08-21,1971.1199951171875,1954.469970703125,1954.5699462890625,1964.6500244140625,391600,0
2019-08-22,1967.9599609375,1951.010009765625,1966.5999755859375,1951.010009765625,435600,0
2019-08-23,1953.8499755859375,1940.5999755859375,1942.4200439453125,1948.300048828125,381100,0
2019-08-26,1924.489990234375,1909.9200439453125,1915.3399658203125,1916.31005859375,324900,1
2019-08-27,1937.4200439453125,1919.280029296875,1928.97998046875,1924.5999755859375,427000,1
2019-08-28,1943.6199951171875,1926.4300537109375,1929.9599609375,1941.0899658203125,284300,0
2019-08-29,1947.1500244140625,1928.489990234375,1943.550048828125,1933.4100341796875,285100,1
2019-08-30,1971.2099609375,1951.300048828125,1951.6600341796875,1967.7900390625,317700,1
2019-09-02,1973.25,1958.5899658203125,1961.18994140625,1969.18994140625,262200,0
2019-09-03,1976.3699951171875,1960.1500244140625,1966.5,1965.68994140625,342100,1
2019-09-04,1988.530029296875,1962.0799560546875,1962.4300537109375,1988.530029296875,348700,1
2019-09-05,2015.3900146484375,1992.510009765625,1993.6199951171875,2004.75,488100,1
2019-09-06,2017.199951171875,2005.68994140625,2016.1099853515625,2009.1300048828125,384400,1
2019-09-09,2029.800048828125,2013.280029296875,2013.3800048828125,2019.550048828125,511800,1
2019-09-10,2034.280029296875,2021.5799560546875,2024.7900390625,2032.0799560546875,504400,1
2019-09-11,2050.800048828125,2040.0400390625,2043.719970703125,2049.199951171875,429100,1
2019-09-16,2062.219970703125,2044.800048828125,2056.260009765625,2062.219970703125,493500,1
2019-09-17,2066.330078125,2055.169921875,2058.719970703125,2062.330078125,508000,1
2019-09-18,2075.6298828125,2058.52001953125,2064.419921875,2070.72998046875,613100,1
2019-09-19,2089.81005859375,2070.530029296875,2070.530029296875,2080.35009765625,493000,1
2019-09-20,2092.3701171875,2077.300048828125,2080.860107421875,2091.52001953125,589900,1
2019-09-23,2095.5400390625,2085.60009765625,2087.699951171875,2091.699951171875,420900,1
2019-09-24,2101.6298828125,2085.909912109375,2090.18994140625,2101.0400390625,535800,0
2019-09-25,2095.27001953125,2072.409912109375,2093.469970703125,2073.389892578125,651600,1
2019-09-26,2087.330078125,2064.340087890625,2082.659912109375,2074.52001953125,430600,0
2019-09-27,2066.9599609375,2044.75,2066.9599609375,2049.929931640625,285900,1
2019-09-30,2064.989990234375,2042.010009765625,2045.77001953125,2063.050048828125,327600,1
2019-10-01,2077.47998046875,2057.909912109375,2062.43994140625,2072.419921875,389300,0
2019-10-02,2058.22998046875,2031.9100341796875,2058.22998046875,2031.9100341796875,414500,0
2019-10-04,2039.4300537109375,2020.68994140625,2028.4000244140625,2020.68994140625,402900,1
2019-10-07,2034.93994140625,2016.18994140625,2031.530029296875,2021.72998046875,322200,1
2019-10-08,2046.81005859375,2024.6300048828125,2029.3699951171875,2046.25,437500,0
2019-10-10,2040.8800048828125,2010.9000244140625,2030.1300048828125,2028.1500244140625,445800,1
2019-10-11,2053.93994140625,2040.47998046875,2048.080078125,2044.6099853515625,381100,1
2019-10-14,2075.10009765625,2065.530029296875,2068.1298828125,2067.39990234375,511200,1
2019-10-15,2073.2099609375,2064.340087890625,2064.780029296875,2068.169921875,464500,1
2019-10-16,2090.010009765625,2073.800048828125,2080.919921875,2082.830078125,524500,0
2019-10-17,2087.14990234375,2072.489990234375,2081.760009765625,2077.93994140625,314200,0
2019-10-18,2088.5400390625,2057.889892578125,2082.22998046875,2060.68994140625,516700,1
2019-10-21,2067.969970703125,2059.330078125,2067.969970703125,2064.840087890625,606100,1
2019-10-22,2093.81005859375,2073.080078125,2076.2900390625,2088.860107421875,504100,0
2019-10-23,2088.25,2074.8798828125,2086.81005859375,2080.6201171875,429500,1
2019-10-24,2089.85009765625,2067.89990234375,2089.85009765625,2085.659912109375,367700,1
2019-10-25,2091.239990234375,2079.300048828125,2091.159912109375,2087.889892578125,348700,1
2019-10-28,2104.389892578125,2089.760009765625,2096.669921875,2093.60009765625,269200,0
2019-10-29,2105.169921875,2088.0400390625,2103.919921875,2092.68994140625,357700,0
2019-10-30,2093.510009765625,2075.5400390625,2093.510009765625,2080.27001953125,415600,1
2019-10-31,2103.7099609375,2083.47998046875,2089.219970703125,2083.47998046875,461300,1
2019-11-01,2100.419921875,2081.530029296875,2084.7900390625,2100.199951171875,418300,1
2019-11-04,2130.830078125,2111.320068359375,2111.320068359375,2130.239990234375,476300,1
2019-11-05,2143.1201171875,2128.699951171875,2133.659912109375,2142.639892578125,400600,1
2019-11-06,2156.22998046875,2138.830078125,2142.68994140625,2144.14990234375,410100,1
2019-11-07,2147.010009765625,2135.449951171875,2141.050048828125,2144.2900390625,425700,0
2019-11-08,2155.93994140625,2133.75,2154.179931640625,2137.22998046875,574100,0
2019-11-11,2139.070068359375,2119.070068359375,2139.070068359375,2124.090087890625,617300,1
2019-11-12,2140.93994140625,2121.800048828125,2131.260009765625,2140.919921875,610400,0
2019-11-13,2133.3701171875,2118.669921875,2132.47998046875,2122.449951171875,664400,1
2019-11-14,2139.22998046875,2121.320068359375,2127.5400390625,2139.22998046875,521100,1
2019-11-15,2165.02001953125,2135.260009765625,2137.9599609375,2162.179931640625,556200,0
2019-11-18,2165.889892578125,2151.969970703125,2161.889892578125,2160.68994140625,489200,0
2019-11-19,2154.409912109375,2137.010009765625,2151.0400390625,2153.239990234375,826900,0
2019-11-20,2145.969970703125,2123.800048828125,2140.06005859375,2125.320068359375,581100,0
2019-11-21,2125.360107421875,2088.18994140625,2123.64990234375,2096.60009765625,579600,1
2019-11-22,2106.419921875,2093.989990234375,2098.889892578125,2101.9599609375,519900,1
2019-11-25,2130.0400390625,2116.070068359375,2117.139892578125,2123.5,397700,0
2019-11-26,2139.639892578125,2120.85009765625,2129.27001953125,2121.35009765625,532600,1
2019-11-27,2136.300048828125,2118.070068359375,2134.469970703125,2127.85009765625,367800,0
2019-11-28,2127.75,2116.580078125,2116.929931640625,2118.60009765625,335200,0
2019-11-29,2125.530029296875,2085.10009765625,2125.530029296875,2087.9599609375,433300,1
2019-12-02,2103.8701171875,2088.919921875,2097.550048828125,2091.919921875,385300,0
2019-12-03,2085.7099609375,2066.60009765625,2075.02001953125,2084.070068359375,450000,0
2019-12-04,2072.909912109375,2057.449951171875,2070.840087890625,2068.889892578125,347000,0
2019-12-05,2084.2900390625,2053.56005859375,2078.31005859375,2060.739990234375,472200,1
2019-12-06,2084.43994140625,2070.169921875,2072.43994140625,2081.85009765625,440200,1
2019-12-09,2093.81005859375,2084.31005859375,2091.93994140625,2088.64990234375,393100,1
2019-12-10,2100.47998046875,2080.159912109375,2081.219970703125,2098.0,500100,1
2019-12-11,2109.219970703125,2092.47998046875,2098.280029296875,2105.6201171875,668700,1
2019-12-12,2138.929931640625,2120.1298828125,2120.1298828125,2137.35009765625,584600,1
2019-12-13,2170.25,2159.449951171875,2164.6298828125,2170.25,540000,0
2019-12-16,2175.010009765625,2166.2900390625,2168.050048828125,2168.14990234375,377100,1
2019-12-17,2196.010009765625,2171.090087890625,2179.39990234375,2195.679931640625,599500,0
2019-12-18,2204.0400390625,2187.320068359375,2194.919921875,2194.760009765625,591100,1
2019-12-19,2204.72998046875,2186.590087890625,2199.419921875,2196.56005859375,643100,1
2019-12-20,2206.820068359375,2194.800048828125,2205.570068359375,2204.179931640625,646700,0
2019-12-23,2209.199951171875,2196.429931640625,2208.219970703125,2203.7099609375,502000,0
2019-12-24,2206.22998046875,2187.580078125,2206.22998046875,2190.080078125,570000,1
2019-12-26,2198.010009765625,2183.89990234375,2192.219970703125,2197.929931640625,571300,1
2019-12-27,2215.550048828125,2177.39990234375,2183.699951171875,2204.2099609375,490200,0
2019-12-30,2208.0400390625,2195.64990234375,2202.6201171875,2197.669921875,416400,0
2020-01-02,2202.320068359375,2171.840087890625,2201.2099609375,2175.169921875,494700,1
2020-01-03,2203.3798828125,2165.389892578125,2192.580078125,2176.4599609375,631600,0
2020-01-06,2164.419921875,2149.949951171875,2154.969970703125,2155.070068359375,592700,1
2020-01-07,2181.6201171875,2164.27001953125,2166.60009765625,2175.5400390625,568200,0
2020-01-08,2162.320068359375,2137.719970703125,2156.27001953125,2151.31005859375,913800,1
2020-01-09,2186.449951171875,2172.159912109375,2182.199951171875,2186.449951171875,592600,1
2020-01-10,2206.919921875,2188.10009765625,2189.47998046875,2206.389892578125,594500,1
2020-01-13,2230.429931640625,2204.489990234375,2204.489990234375,2229.260009765625,488300,1
2020-01-14,2250.7900390625,2232.93994140625,2243.06005859375,2238.8798828125,835900,0
2020-01-15,2238.2099609375,2223.389892578125,2229.800048828125,2230.97998046875,746200,1
2020-01-16,2249.090087890625,2225.409912109375,2231.929931640625,2248.050048828125,808300,1
2020-01-17,2268.7099609375,2245.580078125,2261.570068359375,2250.570068359375,580800,1
2020-01-20,2277.22998046875,2258.090087890625,2261.39990234375,2262.639892578125,545500,0
2020-01-21,2266.31005859375,2238.25,2259.81005859375,2239.68994140625,770300,1
2020-01-22,2269.27001953125,2235.1298828125,2238.530029296875,2267.25,608500,0
2020-01-23,2260.6298828125,2241.93994140625,2254.5400390625,2246.1298828125,509600,0
2020-01-28,2199.929931640625,2166.22998046875,2192.219970703125,2176.719970703125,808500,1
2020-01-29,2195.449951171875,2172.330078125,2188.179931640625,2185.280029296875,692300,0
2020-01-30,2187.449951171875,2139.719970703125,2181.5400390625,2148.0,602700,0
2020-01-31,2167.22998046875,2119.010009765625,2160.60009765625,2119.010009765625,710500,0
2020-02-03,2126.72998046875,2082.739990234375,2086.610107421875,2118.8798828125,836700,1
2020-02-04,2162.320068359375,2120.530029296875,2121.219970703125,2157.89990234375,624600,1
2020-02-05,2181.52001953125,2154.8798828125,2177.260009765625,2165.6298828125,574400,1
2020-02-06,2229.989990234375,2182.25,2184.77001953125,2227.93994140625,695000,0
2020-02-07,2223.919921875,2198.139892578125,2221.489990234375,2211.949951171875,800200,0
2020-02-10,2203.389892578125,2180.510009765625,2185.6298828125,2201.070068359375,609600,1
2020-02-11,2233.320068359375,2211.25,2213.5,2223.1201171875,526000,1
2020-02-12,2242.239990234375,2214.77001953125,2225.949951171875,2238.3798828125,632500,0
2020-02-13,2255.489990234375,2230.300048828125,2245.719970703125,2232.9599609375,638700,1
2020-02-14,2251.5,2221.89990234375,2232.7099609375,2243.590087890625,597200,0
2020-02-17,2250.050048828125,2230.260009765625,2243.070068359375,2242.169921875,458200,0
2020-02-18,2232.929931640625,2205.2099609375,2225.97998046875,2208.8798828125,470400,1
2020-02-19,2226.0,2191.199951171875,2222.510009765625,2210.340087890625,590800,0
2020-02-20,2228.179931640625,2186.719970703125,2223.550048828125,2195.5,709600,0
2020-02-21,2184.429931640625,2160.280029296875,2165.64990234375,2162.840087890625,635500,0
2020-02-24,2120.06005859375,2079.030029296875,2114.0400390625,2079.0400390625,948600,1
2020-02-25,2105.489990234375,2071.5,2075.550048828125,2103.610107421875,1565600,0
2020-02-26,2089.639892578125,2059.1298828125,2064.070068359375,2076.77001953125,810900,0
2020-02-27,2085.39990234375,2049.14990234375,2073.8701171875,2054.889892578125,562500,0
2020-02-28,2031.010009765625,1980.8199462890625,2020.1700439453125,1987.010009765625,671600,1
2020-03-02,2017.0699462890625,1969.3399658203125,1997.030029296875,2002.510009765625,528100,1
2020-03-03,2051.85009765625,2009.3900146484375,2051.85009765625,2014.1500244140625,615700,1
2020-03-04,2063.590087890625,2005.81005859375,2005.81005859375,2059.330078125,606300,1
2020-03-05,2089.080078125,2059.989990234375,2078.110107421875,2085.260009765625,675200,0
2020-03-06,2062.570068359375,2032.1300048828125,2053.090087890625,2040.219970703125,865600,0
2020-03-09,1989.5,1946.9000244140625,1981.02001953125,1954.77001953125,666900,1
2020-03-10,1968.1700439453125,1934.719970703125,1942.8499755859375,1962.9300537109375,638600,0
2020-03-11,1967.699951171875,1898.27001953125,1965.6700439453125,1908.27001953125,679700,0
2020-03-12,1897.22998046875,1808.56005859375,1887.969970703125,1834.3299560546875,850300,0
2020-03-13,1809.31005859375,1680.5999755859375,1722.6800537109375,1771.43994140625,1035300,0
2020-03-16,1805.4300537109375,1714.3800048828125,1805.4300537109375,1714.8599853515625,682000,0
2020-03-17,1722.969970703125,1637.8800048828125,1640.8399658203125,1672.43994140625,649800,0
2020-03-18,1693.949951171875,1591.1199951171875,1686.1199951171875,1591.199951171875,728000,0
2020-03-19,1626.0899658203125,1439.4300537109375,1626.0899658203125,1457.6400146484375,977700,1
2020-03-20,1566.8199462890625,1466.47998046875,1498.489990234375,1566.1500244140625,817000,0
2020-03-23,1516.75,1458.4100341796875,1474.449951171875,1482.4599609375,647200,1
2020-03-24,1609.969970703125,1508.6800537109375,1523.68994140625,1609.969970703125,679300,1
2020-03-25,1707.6400146484375,1645.280029296875,1668.18994140625,1704.760009765625,872800,0
2020-03-26,1735.75,1679.22998046875,1699.1099853515625,1686.239990234375,992500,1
2020-03-27,1759.050048828125,1668.2099609375,1756.0699462890625,1717.72998046875,1077500,0
2020-03-30,1729.6300048828125,1659.949951171875,1670.3399658203125,1717.1199951171875,767800,1
2020-03-31,1757.81005859375,1722.6199951171875,1739.2900390625,1754.6400146484375,1037500,0
2020-04-01,1762.43994140625,1685.3699951171875,1737.280029296875,1685.4599609375,1243600,1
2020-04-02,1726.760009765625,1664.1300048828125,1693.530029296875,1724.8599853515625,766300,1
2020-04-03,1743.9100341796875,1706.6800537109375,1731.1700439453125,1725.43994140625,1000100,1
2020-04-06,1794.18994140625,1742.6700439453125,1745.25,1791.8800048828125,1219400,1
2020-04-07,1838.969970703125,1791.9200439453125,1826.719970703125,1823.5999755859375,951400,0
2020-04-08,1842.1600341796875,1801.800048828125,1815.75,1807.1400146484375,907500,1
2020-04-09,1839.3299560546875,1818.300048828125,1838.0899658203125,1836.2099609375,920600,1
2020-04-10,1861.0999755859375,1824.4300537109375,1835.760009765625,1860.699951171875,992500,0
2020-04-13,1853.300048828125,1825.760009765625,1853.300048828125,1825.760009765625,1017800,1
2020-04-14,1864.4599609375,1837.1700439453125,1846.4100341796875,1857.0799560546875,886800,0
2020-04-16,1862.22998046875,1828.1300048828125,1839.510009765625,1857.0699462890625,878300,1
2020-04-17,1926.02001953125,1893.18994140625,1893.31005859375,1914.530029296875,1667500,0
2020-04-20,1925.25,1893.1700439453125,1908.3399658203125,1898.3599853515625,1087500,0
2020-04-21,1898.3199462890625,1841.6600341796875,1886.780029296875,1879.3800048828125,1174300,1
2020-04-22,1897.9000244140625,1844.8499755859375,1855.510009765625,1896.1500244140625,820400,1
2020-04-23,1923.530029296875,1895.97998046875,1907.449951171875,1914.72998046875,683700,0
2020-04-24,1908.2900390625,1880.7099609375,1906.0699462890625,1889.010009765625,933900,1
2020-04-27,1929.8199462890625,1894.6199951171875,1897.06005859375,1922.77001953125,735700,1
2020-04-28,1941.7900390625,1911.6300048828125,1931.25,1934.0899658203125,1173500,1
2020-04-29,1957.510009765625,1934.31005859375,1936.8900146484375,1947.56005859375,1984200,0
2020-05-04,1918.6600341796875,1894.2900390625,1906.4200439453125,1895.3699951171875,1146900,1
2020-05-06,1928.760009765625,1919.449951171875,1919.449951171875,1928.760009765625,1082200,0
2020-05-07,1938.5,1918.5699462890625,1922.0,1928.6099853515625,775700,1
2020-05-08,1956.8900146484375,1942.5400390625,1944.93994140625,1945.8199462890625,784500,0
2020-05-11,1960.4599609375,1932.8699951171875,1953.510009765625,1935.4000244140625,591100,0
2020-05-12,1938.6199951171875,1905.1700439453125,1938.6199951171875,1922.1700439453125,799900,1
2020-05-13,1940.4200439453125,1897.239990234375,1897.5,1940.4200439453125,618800,0
2020-05-14,1931.4300537109375,1913.489990234375,1922.43994140625,1924.9599609375,760600,1
2020-05-15,1938.5899658203125,1913.2099609375,1937.6300048828125,1927.280029296875,866400,1
2020-05-18,1943.0699462890625,1921.1400146484375,1934.510009765625,1937.1099853515625,761700,1
2020-05-19,1983.77001953125,1968.5899658203125,1977.469970703125,1980.6099853515625,773400,1
2020-05-20,1992.199951171875,1972.1199951171875,1972.1199951171875,1989.6400146484375,699400,1
2020-05-21,2004.949951171875,1993.0,2003.199951171875,1998.31005859375,600900,0
2020-05-22,2002.6500244140625,1961.4000244140625,2001.5999755859375,1970.1300048828125,847500,1
2020-05-25,1994.9000244140625,1967.8399658203125,1980.510009765625,1994.5999755859375,641500,1
2020-05-26,2029.8900146484375,1997.93994140625,2001.0,2029.780029296875,1017800,1
2020-05-27,2043.43994140625,2019.8199462890625,2027.9000244140625,2031.199951171875,1178800,0
2020-05-28,2054.52001953125,2003.75,2047.0799560546875,2028.5400390625,1172100,1
2020-05-29,2038.8900146484375,2006.6199951171875,2018.3699951171875,2029.5999755859375,1086200,1
2020-06-01,2065.3798828125,2035.6300048828125,2037.0400390625,2065.080078125,997300,1
2020-06-02,2089.429931640625,2059.139892578125,2061.449951171875,2087.18994140625,1000300,1
2020-06-03,2156.550048828125,2107.68994140625,2108.550048828125,2147.0,1152000,1
2020-06-04,2191.0,2139.679931640625,2181.639892578125,2151.179931640625,1393300,1
2020-06-05,2187.25,2138.179931640625,2151.169921875,2181.8701171875,854600,1
2020-06-08,2217.2099609375,2174.9599609375,2215.60009765625,2184.2900390625,854000,1
2020-06-09,2212.169921875,2166.010009765625,2206.22998046875,2188.919921875,817100,1
2020-06-10,2200.679931640625,2178.1201171875,2187.909912109375,2195.68994140625,706300,0
2020-06-11,2200.719970703125,2148.510009765625,2184.360107421875,2176.780029296875,827400,0
2020-06-12,2137.1201171875,2084.6298828125,2088.239990234375,2132.300048828125,689900,0
2020-06-15,2129.669921875,2030.8199462890625,2114.409912109375,2030.8199462890625,1071600,1
2020-06-16,2138.080078125,2079.02001953125,2091.090087890625,2138.050048828125,973300,1
2020-06-17,2154.3701171875,2105.260009765625,2133.179931640625,2141.050048828125,927200,0
2020-06-18,2145.1298828125,2120.2900390625,2134.35009765625,2133.47998046875,767100,1
2020-06-19,2153.570068359375,2108.909912109375,2153.090087890625,2141.320068359375,1079300,0
2020-06-22,2142.8798828125,2122.10009765625,2126.3798828125,2126.72998046875,789400,1
2020-06-23,2158.14990234375,2110.510009765625,2149.1298828125,2131.239990234375,917600,1
2020-06-24,2171.860107421875,2143.909912109375,2145.929931640625,2161.510009765625,913900,0
2020-06-25,2143.330078125,2112.3701171875,2130.449951171875,2112.3701171875,1017700,1
2020-06-26,2142.0400390625,2115.25,2137.469970703125,2134.64990234375,761000,0
2020-06-29,2120.5,2087.840087890625,2105.5400390625,2093.47998046875,643200,1
2020-06-30,2134.3798828125,2108.260009765625,2124.3798828125,2108.330078125,708600,0
2020-07-01,2133.550048828125,2101.330078125,2128.81005859375,2106.699951171875,1116200,1
2020-07-02,2135.3701171875,2113.97998046875,2116.719970703125,2135.3701171875,1092000,1
2020-07-03,2153.5400390625,2135.300048828125,2147.889892578125,2152.409912109375,770100,1
2020-07-06,2191.280029296875,2157.7099609375,2158.949951171875,2187.929931640625,666900,0
2020-07-07,2206.7900390625,2164.030029296875,2202.0400390625,2164.169921875,847400,0
2020-07-08,2173.830078125,2150.889892578125,2166.760009765625,2158.8798828125,677800,1
2020-07-09,2181.47998046875,2166.739990234375,2171.14990234375,2167.89990234375,619400,0
2020-07-10,2171.52001953125,2140.2900390625,2171.43994140625,2150.25,887000,1
2020-07-13,2188.800048828125,2163.070068359375,2170.510009765625,2186.06005859375,650200,0
2020-07-14,2183.610107421875,2165.60009765625,2176.429931640625,2183.610107421875,811000,1
2020-07-15,2216.969970703125,2190.659912109375,2208.72998046875,2201.8798828125,830300,0
2020-07-16,2207.340087890625,2177.820068359375,2203.300048828125,2183.760009765625,784600,1
2020-07-17,2204.199951171875,2187.85009765625,2187.85009765625,2201.18994140625,569300,0
2020-07-20,2209.590087890625,2183.830078125,2209.590087890625,2198.199951171875,686800,1
2020-07-21,2234.860107421875,2214.280029296875,2219.18994140625,2228.830078125,918500,0
2020-07-22,2238.860107421875,2221.6201171875,2228.199951171875,2228.659912109375,856200,0
2020-07-23,2227.239990234375,2202.989990234375,2227.239990234375,2216.18994140625,934400,0
2020-07-24,2219.570068359375,2195.489990234375,2196.72998046875,2200.43994140625,1001000,1
2020-07-27,2231.25,2203.47998046875,2203.47998046875,2217.860107421875,928600,1
